comment_id,post_id,user_id,user_name,fullname,content
1799161903947095,1797380330791919,,gia.han.947570,Gia Hân,"bạn tham khảo qua CEO Vicky Thuận bên này mình thấy chữa mụn ok lắm, mình đi tầm 3 liệu trình kết hợp bôi thuốc với chống nắng kĩ là hết hẳn rồi nè"
1799107943952491,1797380330791919,100016982135151,,Thùy Trang,Chú ý làm sạch. Thêm peel cũng ok
1798290174034268,1797380330791919,100006895127065,,Huyền Trang,dùng BHA/ Mark ĐÂT sét đi ạ
1798344487362170,1797380330791919,100092974362070,,Dương Nhã Kỳ,"Qua bên này CEO Vicky Thuận ngay đi ạ , trước em củng chữa viêm mụn bên này , trộm vía các bác làm kỉ càng nên nhanh cải thiện lắm"
1798341970695755,1797380330791919,100092658605859,,Minh Ty,Để cải thiện da mụn và không đều màu như này bạn qua bên Viện Thẩm Mỹ Royal thăm khám để được tư vấn liệu trình chăm sóc phù hợp nhé
1798290604034225,1797380330791919,100083230755341,,Nguyễn Hoa Dược Sỹ,Tâp trung làm sạch da peel đăp mặt nạ đất sét
1798760573987228,1797380330791919,,thichuong.pham.1656,Le Hoang Anh,"Da mụn tn chỉ có đi bác sĩ chuyên da liễu bác tư vấn , khám điều trị phác đồ đúng mới cải thiện đc . Mình điều trị ở bsi CEO Vicky Thuận đây"
1798310630698889,1797380330791919,100013822840095,,Ân Ân,Bạn dùng sữa rửa mặt giảm mụn nhé https://s.shopee.vn/VmxTh0MK9
1798457520684200,1797380330791919,100094529220725,,Nguyễn Ngân,Nếu em muốn trị mụn này thì theo liệu trình cho tận gốc em nhé.qua bên CEO Vicky Thuận để bác thăm khám nặng nhẹ và đưa ra phác đồ dtri thích hợp
1798710280658924,1797380330791919,61552480805647,,Hoàng Oanh,"Nếu mà mụn ẩn k điều trị tận gốc sau phát rất dễ bị rỗ mà rỗ thì cực kì khó chữa với tốn kém luôn, tốt nhất là m đi đtri cho khỏi, như m trước điều trị xong giờ da mặt đở lắm.mình dtri ở bên bạn có thể tham khảo.qua bên Viện Thẩm Mỹ Royal bs tư vấn cho b"
1798306947365924,1797380330791919,100050211463486,,San San,https://s.shopee.vn/9A4xfQWuBs
