comment_id,post_id,user_id,user_name,fullname,content
1865053964023725,1864673414061780,,cot.hy22,Khiết Liên Hỷ,Phạm Đức Nam ơ
1864967767365678,1864673414061780,100017712188583,,Kiệt Nguyễn,"Phải xét nhìu mặt. Nghỉ ngang là ko có lương rồi, nhìu công ty sẽ giam lương 1 tháng hoặc trễ lắm là 2 tháng, có khi cty cb phá sản, kế toán ăn chặn lương..... Nói chung cứ kiện mà nghỉ ngang đừng đi kiện nhak ko ng ta nói đó"
1864686914060430,1864673414061780,100004734871162,,Phạm Thiên Bảo,"Số tiền nhiều thì lên phòng lao động thưa, còn ít quá thì bỏ đi bạn, coi như cúng cô hồn"
1864685777393877,1864673414061780,,anh.truc.3781995,Truc Anh,Thì năng nỉ
1864833574045764,1864673414061780,,huyen.vuthithanh.509,Vũ Thị Thanh Huyền,"Ngày nào cũng đòi, doạ bóc phốt, lên cty ăn vạ"
1864818897380565,1864673414061780,,deutschheld,Nguyễn Đức Hùng,"Cứ phang đơn ra tòa thôi ... ,"
1864818024047319,1864673414061780,,hoaphong.lu,Ngựa Hoang,"Trông đợi gì vào sự tử tế của mấy cty nợ tiền như này. Chờ nghiệp quật thôi bạn, còn mình thì coi như bố thí làm ơn lấy phúc cho sau này."
1864687204060401,1864673414061780,100088577241841,,Trần Duy Khương,cứ báo lên luật lao động là nó sợ chứ có j đâu b
1864715580724230,1864673414061780,,phanh2612.02,Pham Phuong Anh,Ngọc Sury kìa c gái iu
1864736807388774,1864673414061780,61563474952671,,Phạm Tuấn,"Chắc công ty khó khăn, bỏ qua thôi bạn…"
1864719097390545,1864673414061780,100014647444631,,Lương Tuấn Anh,Thì kiện thôi 😄 đơn giản
1864688004060321,1864673414061780,,manh.ntm,Mạnh Tuấn,Đã có ai đi kiện cáo mà thành công chưa ạ? Cho mình ib xin hướng dẫn với. Mình cũng đang bị trường hợp tương tự mà chưa biết thủ tục như thế nào.
1864715504057571,1864673414061780,,phanh2612.02,Pham Phuong Anh,Ngọc Sury kìa chị
1864713120724476,1864673414061780,,vietanh30111998,Vũ Việt Anh,Kiện đi b cần thì bóc phốt chỉ mặt thẳng tên CTY ra quyền lợi của mình tộI gì ko làm
1864698870725901,1864673414061780,,mavanket123,Ma Kết,"Nhớ năm 2017 minh cũng từng bị giam 50% lương, với lời hua thang sau khi nghỉ sẽ thanh toán nốt, và mình đã mất 7tr 🙂 bài học đầu tiên !"
1864691047393350,1864673414061780,100032358737473,,Hoàng Tuấn,Trần Thị Diểm Thuý🥲
1864689757393479,1864673414061780,,,Thành viên ẩn danh,Hiện tại mình đang bị công ty nợ số tiền 13tr500k. Mình đủ điều kiện để kiện lên bộ lao động không ạ?
1864691870726601,1864673414061780,61557599927662,,Thu Trang,Kiều Yến Chi :)
1864692787393176,1864673414061780,,imnotnii,Vũ Hưng,Sở lao động rất yêu những trường hợp này. Google cách làm thôi bạn ơi
1864687777393677,1864673414061780,,hieugymer05,Nguyễn Trung Hiếu,đòi
1864687744060347,1864673414061780,,1501.dieuluong,Diệu Lương,"( trường hợp của mình) nt gọi điện thẳng cho giám đốc, còn lươn lẹo không trả này kia cơ mà :)"
1864685977393857,1864673414061780,,MinhLeopard1801,Nguyễn Công Minh,Phốt 🤣
1864685537393901,1864673414061780,100093018353969,,Mộng Thị Ly,kiện :))
1864684777393977,1864673414061780,,huynhhuu.lan,Huỳnh Hữu Lân,Năn nỉ công ty trả
1864684294060692,1864673414061780,,phanhuong.pt,Phan Hương,bạn cần hỗ trợ thì inb mình nói rõ tình huống cụ thể nhé
